title,genres,keywords,overview,cast,director,rating,release_year
Inception,"Action, Sci-Fi, Thriller","dream, heist, mind, technology","A skilled thief enters dreams to steal secrets and is offered a chance to erase his past.","Leonardo DiCaprio, Joseph Gordon-Levitt, Tom Hardy",Christopher Nolan,8.8,2010
Interstellar,"Adventure, Drama, Sci-Fi","space, time, astronaut, black hole","Explorers travel through a wormhole to search for a new home for humanity.","Matthew McConaughey, Anne Hathaway, Jessica Chastain",Christopher Nolan,8.7,2014
The Dark Knight,"Action, Crime, Drama","hero, villain, joker, crime","Batman faces a criminal mastermind who pushes Gotham into chaos.","Christian Bale, Heath Ledger, Gary Oldman",Christopher Nolan,9.0,2008
The Matrix,"Action, Sci-Fi","virtual reality, hacker, artificial intelligence","A hacker discovers that reality is a simulated world and joins a rebellion.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",Lana Wachowski and Lilly Wachowski,8.7,1999
Avengers: Endgame,"Action, Adventure, Sci-Fi","superhero, time travel, infinity stones, marvel","The Avengers attempt to reverse a catastrophic event and restore the universe.","Robert Downey Jr., Chris Evans, Scarlett Johansson",Anthony Russo and Joe Russo,8.4,2019
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure","superhero, spider, multiverse, teenager","A teenager becomes Spider-Man and meets heroes from different dimensions.","Shameik Moore, Jake Johnson, Hailee Steinfeld",Bob Persichetti,8.4,2018
The Hangover,"Comedy","party, wedding, friendship, las vegas","Three friends search for the missing groom after a chaotic bachelor party.","Bradley Cooper, Ed Helms, Zach Galifianakis",Todd Phillips,7.7,2009
La La Land,"Comedy, Drama, Romance","music, jazz, love, dreams, hollywood","A musician and an aspiring actress fall in love while chasing their dreams in Los Angeles.","Ryan Gosling, Emma Stone, John Legend",Damien Chazelle,8.0,2016
The Notebook,"Drama, Romance","love, memory, relationship, letters","An elderly man reads a lifelong love story to a woman in a nursing home.","Ryan Gosling, Rachel McAdams, James Garner",Nick Cassavetes,7.8,2004
A Quiet Place,"Drama, Horror, Sci-Fi","monsters, silence, family, survival","A family must live in silence while mysterious creatures hunt by sound.","Emily Blunt, John Krasinski, Millicent Simmonds",John Krasinski,7.5,2018
Get Out,"Horror, Thriller","mystery, family, racism, hypnosis","A young man visits his girlfriend's family and uncovers a disturbing secret.","Daniel Kaluuya, Allison Williams, Bradley Whitford",Jordan Peele,7.7,2017
The Martian,"Adventure, Drama, Sci-Fi","mars, survival, astronaut, nasa","An astronaut stranded on Mars uses science and ingenuity to survive.","Matt Damon, Jessica Chastain, Jeff Daniels",Ridley Scott,8.0,2015
Guardians of the Galaxy,"Action, Adventure, Comedy","space, superhero, friendship, alien","A group of unlikely heroes must work together to save the galaxy.","Chris Pratt, Zoe Saldana, Dave Bautista",James Gunn,8.0,2014
Toy Story,"Animation, Comedy, Adventure","toys, friendship, childhood, cowboy","Toys come to life when humans are away and learn about friendship.","Tom Hanks, Tim Allen, Don Rickles",John Lasseter,8.3,1995
The Conjuring,"Horror, Thriller","ghost, haunted house, family, paranormal","Paranormal investigators help a family terrorized by a dark presence.","Vera Farmiga, Patrick Wilson, Lili Taylor",James Wan,7.5,2013
